"result_id","tier","dataset","analysis_population","analysis","outcome","comparison_or_metric","effect_measure","estimate","lower_95","upper_95","p_value","n","events","display_value","destination","submission_status","amendment"
"STRUCT_MIMIC_SII5_P1","Structural sensitivity","MIMIC-IV v3.1","Primary six-feature-complete cohort, relabelled under the stated structural variant","Five-feature SII only","365-day all-cause mortality","P1 vs P3","HR",1.7398764816055,1.40288676997123,2.15781503970275,4.60426466048114e-07,1100,550,"1.74 (1.40<U+2013>2.16)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_MIMIC_SII5_P2","Structural sensitivity","MIMIC-IV v3.1","Primary six-feature-complete cohort, relabelled under the stated structural variant","Five-feature SII only","365-day all-cause mortality","P2 vs P3","HR",1.80627483260876,1.46173167428926,2.23202987819374,4.3602865168673e-08,1100,550,"1.81 (1.46<U+2013>2.23)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"MIMIC_PH_OASIS_GLOBAL","Diagnostic","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Official OASIS quartile-stratified Cox","Proportional-hazards diagnostic","GLOBAL PH test","P value",0.277463451232873,,,0.277463451232873,1100,550,"0.277","Supplementary methods/results or internal audit only","SUPPLEMENT_OR_INTERNAL","Amendment 16"
"MIMIC_PH_OASIS_MALE","Diagnostic","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Official OASIS quartile-stratified Cox","Proportional-hazards diagnostic","male PH test","P value",0.0939887176860035,,,0.0939887176860035,1100,550,"0.094","Supplementary methods/results or internal audit only","SUPPLEMENT_OR_INTERNAL","Amendment 16"
"MIMIC_PH_OASIS_PHENOTYPE","Diagnostic","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Official OASIS quartile-stratified Cox","Proportional-hazards diagnostic","phenotype PH test","P value",0.577638441989073,,,0.577638441989073,1100,550,"0.578","Supplementary methods/results or internal audit only","SUPPLEMENT_OR_INTERNAL","Amendment 16"
"MIMIC_PH_SOFA_ANCHOR_AGE","Diagnostic","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Official first-day SOFA quartile-stratified Cox","Proportional-hazards diagnostic","anchor_age PH test","P value",0.443727317408038,,,0.443727317408038,1100,550,"0.444","Supplementary methods/results or internal audit only","SUPPLEMENT_OR_INTERNAL","Amendment 16"
"MIMIC_PH_SOFA_GLOBAL","Diagnostic","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Official first-day SOFA quartile-stratified Cox","Proportional-hazards diagnostic","GLOBAL PH test","P value",0.180301990852281,,,0.180301990852281,1100,550,"0.180","Supplementary methods/results or internal audit only","SUPPLEMENT_OR_INTERNAL","Amendment 16"
"MIMIC_PH_SOFA_MALE","Diagnostic","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Official first-day SOFA quartile-stratified Cox","Proportional-hazards diagnostic","male PH test","P value",0.0172252482765935,,,0.0172252482765935,1100,550,"0.017","Supplementary methods/results or internal audit only","SUPPLEMENT_OR_INTERNAL","Amendment 16"
"MIMIC_PH_SOFA_PHENOTYPE","Diagnostic","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Official first-day SOFA quartile-stratified Cox","Proportional-hazards diagnostic","phenotype PH test","P value",0.79024770645699,,,0.79024770645699,1100,550,"0.790","Supplementary methods/results or internal audit only","SUPPLEMENT_OR_INTERNAL","Amendment 16"
"MIMIC_SELECTION_ESS","Diagnostic","MIMIC-IV v3.1","Selected primary cohort","Selection model diagnostics","Not applicable (diagnostic)","selection-weight effective sample size","effective sample size",616.233893461425,,,,1100,,"616.2","Supplementary methods/results or internal audit only","SUPPLEMENT_OR_INTERNAL","Amendment 16"
"MIMIC_SELECTION_FRACTION","Diagnostic","MIMIC-IV v3.1","Candidate denominator","Selection model diagnostics","Not applicable (diagnostic)","primary model selection percent","percent",3.26690623979092,,,,33671,,"3.267","Supplementary methods/results or internal audit only","SUPPLEMENT_OR_INTERNAL","Amendment 16"
"MIMIC_SELECTION_MAX_WEIGHT","Diagnostic","MIMIC-IV v3.1","Selected primary cohort","Selection model diagnostics","Not applicable (diagnostic)","maximum truncated stabilised weight","weight",4.58147351451058,,,,1100,,"4.581","Supplementary methods/results or internal audit only","SUPPLEMENT_OR_INTERNAL","Amendment 16"
"EICU_FEATURE_COMPLETE_N","Cohort flow","eICU-CRD v2.0","outcome-blind albumin six-feature cohort","outcome-blind albumin six-feature cohort","ICU mortality","total stays","count",15242,,,,15242,,"15242","Methods/Results cohort flow; participant table","USE","Amendments 17<U+2013>18"
"EICU_P1_COUNT","Cohort flow","eICU-CRD v2.0","outcome-blind albumin six-feature cohort","outcome-blind albumin six-feature cohort","ICU mortality","P1 count","count",5737,,,,5737,1143,"5737","Methods/Results cohort flow; participant table","USE","Amendments 17<U+2013>18"
"EICU_P2_COUNT","Cohort flow","eICU-CRD v2.0","outcome-blind albumin six-feature cohort","outcome-blind albumin six-feature cohort","ICU mortality","P2 count","count",4337,,,,4337,679,"4337","Methods/Results cohort flow; participant table","USE","Amendments 17<U+2013>18"
"EICU_P3_COUNT","Cohort flow","eICU-CRD v2.0","outcome-blind albumin six-feature cohort","outcome-blind albumin six-feature cohort","ICU mortality","P3 count","count",5168,,,,5168,409,"5168","Methods/Results cohort flow; participant table","USE","Amendments 17<U+2013>18"
"EICU_PRIMARY_P1","Primary","eICU-CRD v2.0","APACHE-adjusted hospital random-intercept","APACHE-adjusted hospital random-intercept","In-hospital mortality","P1 vs P3 OR","OR",1.42667823535341,1.23790134518877,1.64424313386679,9.23917924242112e-07,13234,1990,"1.43 (1.24<U+2013>1.64)","Abstract; main Results; main effect table","USE","Amendments 17<U+2013>18"
"EICU_PRIMARY_P2","Primary","eICU-CRD v2.0","APACHE-adjusted hospital random-intercept","APACHE-adjusted hospital random-intercept","In-hospital mortality","P2 vs P3 OR","OR",1.08413860415248,0.928011429744573,1.26653236731921,0.308543035993204,13234,1990,"1.08 (0.93<U+2013>1.27)","Main Results; main effect table","USE","Amendments 17<U+2013>18"
"EICU_IPW_P1","Key sensitivity","eICU-CRD v2.0","selection-IPW APACHE-adjusted hospital random-intercept","selection-IPW APACHE-adjusted hospital random-intercept","In-hospital mortality","P1 vs P3 OR","OR",1.21186261505101,1.04701136814601,1.4026695816673,0.0100007507360449,13234,1990,"1.21 (1.05<U+2013>1.40)","Main Results briefly; supplementary table","SUPPORTIVE","Amendments 17<U+2013>18"
"EICU_IPW_P2","Key sensitivity","eICU-CRD v2.0","selection-IPW APACHE-adjusted hospital random-intercept","selection-IPW APACHE-adjusted hospital random-intercept","In-hospital mortality","P2 vs P3 OR","OR",0.962541752118029,0.821044682858673,1.12842412101696,0.637912040566093,13234,1990,"0.96 (0.82<U+2013>1.13)","Main Results briefly; supplementary table","SUPPORTIVE","Amendments 17<U+2013>18"
"EICU_HOSPITAL_LANDMARK24_P1","Sensitivity","eICU-CRD v2.0","24-hour hospital-mortality landmark APACHE-adjusted","24-hour hospital-mortality landmark APACHE-adjusted","ICU mortality","P1 vs P3 OR","OR",1.43961717768452,1.24362413561018,1.66649838881383,1.06071331754632e-06,12699,1733,"1.44 (1.24<U+2013>1.67)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendments 17<U+2013>18"
"EICU_ICU_LANDMARK24_P1","Sensitivity","eICU-CRD v2.0","24-hour ICU-mortality landmark APACHE-adjusted","24-hour ICU-mortality landmark APACHE-adjusted","ICU mortality","P1 vs P3 OR","OR",1.28938589112141,1.06598595405108,1.55960401720574,0.00883796276813423,10820,974,"1.29 (1.07<U+2013>1.56)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendments 17<U+2013>18"
