dataset,k,consensus,empirical_cdf
NHANES,3,0.77,0.7191950975487744
NHANES,3,0.78,0.7212151075537769
NHANES,3,0.79,0.7228949474737368
NHANES,3,0.8,0.7250125062531265
NHANES,3,0.81,0.7264507253626813
NHANES,3,0.8200000000000001,0.7281620810405203
NHANES,3,0.8300000000000001,0.7296913456728364
NHANES,3,0.84,0.7315127563781891
NHANES,3,0.85,0.7333771885942971
NHANES,3,0.86,0.7352861430715357
NHANES,3,0.87,0.7371745872936468
NHANES,3,0.88,0.7393971985992996
NHANES,3,0.89,0.7418099049524762
NHANES,3,0.9,0.7445107553776888
NHANES,3,0.91,0.7466073036518259
NHANES,3,0.92,0.7487343671835918
NHANES,3,0.93,0.7510105052526264
NHANES,3,0.9400000000000001,0.7537403701850925
NHANES,3,0.9500000000000001,0.7562371185592797
NHANES,3,0.96,0.7602631315657828
NHANES,3,0.97,0.7667993996998499
NHANES,3,0.98,0.7703371685842921
NHANES,3,0.99,0.8215897948974488
NHANES,3,1,1
NHANES,4,0,0.5261330665332666
NHANES,4,0.01,0.5261330665332666
NHANES,4,0.02,0.5539669834917459
NHANES,4,0.03,0.5602031015507754
NHANES,4,0.04,0.5766058029014507
NHANES,4,0.05,0.5930290145072536
NHANES,4,0.06,0.6027018509254627
NHANES,4,0.07,0.614463231615808
NHANES,4,0.08,0.6237753876938469
NHANES,4,0.09,0.6302976488244122
NHANES,4,0.1,0.635751875937969
NHANES,4,0.11,0.6399354677338669
NHANES,4,0.12,0.6440635317658829
NHANES,4,0.13,0.6479989994997499
NHANES,4,0.14,0.651751875937969
NHANES,4,0.15,0.6555407703851927
NHANES,4,0.16,0.6585722861430715
NHANES,4,0.17,0.6617548774387194
NHANES,4,0.18,0.6644002001000501
NHANES,4,0.19,0.6673396698349174
NHANES,4,0.2,0.6708944472236118
NHANES,4,0.21,0.6735477738869434
NHANES,4,0.22,0.6762041020510255
NHANES,4,0.23,0.6790460230115057
NHANES,4,0.24,0.6817168584292146
NHANES,4,0.25,0.6845032516258129
NHANES,4,0.26,0.6863701850925463
NHANES,4,0.27,0.6888004002001
NHANES,4,0.28,0.6908429214607303
NHANES,4,0.29,0.6929054527263632
NHANES,4,0.3,0.6951615807903953
NHANES,4,0.31,0.697040020010005
NHANES,4,0.32,0.6990695347673836
NHANES,4,0.33,0.701151575787894
NHANES,4,0.34,0.7031795897948975
NHANES,4,0.35000000000000003,0.7050625312656328
NHANES,4,0.36,0.7067748874437219
NHANES,4,0.37,0.7085352676338169
NHANES,4,0.38,0.7103146573286643
NHANES,4,0.39,0.7120710355177589
NHANES,4,0.4,0.7140385192596298
NHANES,4,0.41000000000000003,0.7154707353676838
NHANES,4,0.42,0.7168549274637319
NHANES,4,0.43,0.7182666333166583
NHANES,4,0.44,0.7197403701850925
NHANES,4,0.45,0.7211630815407704
NHANES,4,0.46,0.7223986993496748
NHANES,4,0.47000000000000003,0.7239569784892447
NHANES,4,0.48,0.7252851425712856
NHANES,4,0.49,0.7263056528264132
NHANES,4,0.5,0.7284682341170585
NHANES,4,0.51,0.7295422711355678
NHANES,4,0.52,0.7306553276638319
NHANES,4,0.53,0.7321210605302652
NHANES,4,0.54,0.7337823911955978
NHANES,4,0.55,0.7352781390695348
NHANES,4,0.56,0.7367708854427214
NHANES,4,0.5700000000000001,0.7383811905952976
NHANES,4,0.58,0.7399659829914957
NHANES,4,0.59,0.741599299649825
NHANES,4,0.6,0.7437638819409705
NHANES,4,0.61,0.7453776888444222
NHANES,4,0.62,0.7473476738369185
NHANES,4,0.63,0.7493291645822912
NHANES,4,0.64,0.7514572286143072
NHANES,4,0.65,0.7537348674337169
NHANES,4,0.66,0.7557563781890946
NHANES,4,0.67,0.7581775887943972
NHANES,4,0.68,0.7606743371685843
NHANES,4,0.6900000000000001,0.7630980490245123
NHANES,4,0.7000000000000001,0.7656453226613307
NHANES,4,0.71,0.7679509754877438
NHANES,4,0.72,0.7704012006003002
NHANES,4,0.73,0.7728219109554777
NHANES,4,0.74,0.7755772886443222
NHANES,4,0.75,0.7787078539269635
NHANES,4,0.76,0.7809134567283642
NHANES,4,0.77,0.7838424212106053
NHANES,4,0.78,0.786959979989995
NHANES,4,0.79,0.7897863931965983
NHANES,4,0.8,0.793456228114057
NHANES,4,0.81,0.7960675337668834
NHANES,4,0.8200000000000001,0.7990210105052526
NHANES,4,0.8300000000000001,0.8016363181590795
NHANES,4,0.84,0.804671835917959
NHANES,4,0.85,0.8077793896948474
